UnB[-15.77698, -47.781]
UFGD[-22.20881, -54.84679]
UFG[-16.66286, -49.25425]
UFMT[-15.55577, -54.28232]
UFMS[-20.50194, -54.61414]
UFCat[-21.13376, -48.96955]
UFJ[-21.50939, -51.43593]
UFBA[-12.99774, -38.50956]
UFSB[-12.77171, -38.17791]
UFRB[-23.13121, -47.22037]
UNILAB[-18.16902, -47.94553]
UFPB[-6.87307, -38.55965]
UFCA[-8.15589, -34.9176]
UFAL[-9.46538, -35.82532]
UFCG[-7.21684, -35.90299]
UFPE[-8.05135, -34.95097]
UFS[-28.27364, -49.14819]
UFC[-25.36395, -49.09995]
UFMA[-2.55632, -44.30751]
UFOB[-23.13121, -47.22037]
UFPI[-24.2962, -53.84317]
UFRN[-5.7779, -35.20371]
UFRPE[-8.05135, -34.95097]
UFERSA[-23.56889, -46.61779]
UNIR[-8.13282, -34.91078]
UFRR[2.82285, -60.67531]
UFAC[-9.97676, -67.80864]
UNIFAP[0.00249, -51.08574]
UFAM[-8.0366, -34.94329]
UFOPA[-2.24475, -49.50352]
UFPA[-2.24475, -49.50352]
UFT[-22.95685, -46.54277]
UFRA[-1.45936, -48.4445]
UNIFEI[-19.64125, -43.23078]
UFJF[-21.74919, -43.3576]
UFLA[-23.60339, -46.93331]
UFMG[-19.82278, -43.67886]
UFOP[-21.1106, -42.94945]
UFSCar[-23.47469, -47.42903]
UFSJ[-20.1792, -44.9171]
UNIFESP[-23.59691, -46.64434]
UFU[-18.91192, -48.27474]
UFV[-20.75542, -42.87404]
UFABC[-23.64486, -46.52801]
UFES[-20.27972, -40.30118]
UNIRIO[-22.89639, -42.04435]
UFRJ[-22.45204, -44.3785]
UFTM[-19.75608, -47.93024]
UFVJM[-18.20387, -43.58064]
UFF[-29.22061, -51.34715]
UFRRJ[-22.90173, -43.17944]
UFFS[-29.22061, -51.34715]
UNILA[-19.77479, -47.94393]
UFPel[-31.75693, -52.36055]
UFSC[-27.59773, -48.52148]
UFSM[-29.70608, -53.71598]
UNIPAMPA[-30.10765, -51.22161]
UFPR[-24.2962, -53.84317]
FURG[-32.03538, -52.10759]
UFRGS[-30.03338, -51.2188]
UTFPR[-23.31766, -51.17173]
UFAPE[-30.00175, -50.13776]
